pump
id,AUC,pAUC
00,0.6744055944055943,0.5730585204269415
02,0.6010810810810812,0.5817923186344239
04,0.8789,0.6847368421052632
06,0.7170588235294117,0.5660474716202271
Average,0.7178613747540217,0.601408788196714

